source_file,equipo,modelo,tipo_documento,prioridad_fuente,decision_curaduria,idioma,estado_producto,motivo_decision,archivo_original,ruta_original,alerta_automatica
manual_tecnico_incubadora_medix_natal_care_st_mx_lx.md,Natal Care ST/MX/LX,Natal Care ST/MX/LX,manual_tecnico,A,revisar,espanol,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,Manuales-20260528T010304Z-3-001/Manuales/Camilla de Hemodinamia Stille Q2/Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,Requiere revision OCR
manual_tecnico_incubadora_medix_natal_care_lx.md,Natal Care ST/MX/LX,Natal Care ST/MX/LX,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Técnico Incubadora Medix Natal Care LX.pdf,Manuales-20260528T010304Z-3-001/Manuales/Camilla de Hemodinamia Stille Q2/Manual Técnico Incubadora Medix Natal Care LX.pdf,Duplicado exacto
manual_tecnico_incubadora_medix_tr306.md,Incubadora Medix TR306,Incubadora Medix TR306,manual_tecnico,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Manual Técnico Incubadora Medix TR306.pdf,Manuales-20260528T010304Z-3-001/Manuales/Camilla de Hemodinamia Stille Q2/Manual Técnico Incubadora Medix TR306.pdf,Requiere revision OCR
manual_usuario_y_tecnico_incubadora_medix_tr_200.md,Medix,,duplicado,C,excluir,espanol,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,Manual Usuario y Técnico Incubadora Medix TR 200.pdf,Manuales-20260528T010304Z-3-001/Manuales/Camilla de Hemodinamia Stille Q2/Manual Usuario y Técnico Incubadora Medix TR 200.pdf,Duplicado exacto
manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.md,Desfibrilador Monitor Mindray BeneHeart D3/D2,Desfibrilador Monitor Mindray BeneHeart D3/D2,manual_servicio,A,revisar,ingles,pendiente,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Requiere revision OCR antes de considerarse fuente confiable.",Manual de Servicio Desfibrilador - Monitor Beneheart D3 · D2 (Inglés).pdf,Manuales-20260528T010304Z-3-001/Manuales/Desfibrrilador mindray beneheart D3/Manual de Servicio Desfibrilador - Monitor Beneheart D3 · D2 (Inglés).pdf,Requiere revision OCR
mtm_af_500_manual_tecnico_y_mantenimiento_v5_0_2020_02_27.md,Dinan,,manual_tecnico,A,incluir,espanol,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",MTM.AF-500_Manual Técnico y Mantenimiento_v5.0_2020-02-27.pdf,Manuales-20260528T010304Z-3-001/Manuales/Dinan/500/MTM.AF-500_Manual Técnico y Mantenimiento_v5.0_2020-02-27.pdf,Sin alerta automática
mu_af_500_dr_version_v05_manual_de_usuario_v1_0_2024_09_09.md,Equipo de Rayos X Dinan AF500,Equipo de Rayos X Dinan AF500,manual_usuario,B,incluir,espanol,validado,Manual de usuario; fuente util para operador/usuario y operacion segura.,MU.AF-500 DR VERSION V05 Manual de Usuario_v1.0_2024-09-09.pdf,Manuales-20260528T010304Z-3-001/Manuales/Dinan/500/MU.AF-500 DR VERSION V05 Manual de Usuario_v1.0_2024-09-09.pdf,Sin alerta automática
mu_dr_console_af_500_manual_de_usuario_v1_0_2024_09_09.md,Equipo de Rayos X Dinan AF500,Equipo de Rayos X Dinan AF500,manual_usuario,B,incluir,espanol,validado,Manual de usuario; fuente util para operador/usuario y operacion segura.,MU.DR Console AF-500. Manual de Usuario_v1.0_2024-09-09.pdf,Manuales-20260528T010304Z-3-001/Manuales/Dinan/500/MU.DR Console AF-500. Manual de Usuario_v1.0_2024-09-09.pdf,Sin alerta automática
mu_sm500_manual_de_usuario_v1_0_2024_09_09.md,Equipo de Rayos X Dinan AF500,Equipo de Rayos X Dinan AF500,manual_usuario,B,incluir,espanol,validado,Manual de usuario; fuente util para operador/usuario y operacion segura.,MU.SM500.Manual de Usuario_v1.0_2024-09-09.pdf,Manuales-20260528T010304Z-3-001/Manuales/Dinan/500/MU.SM500.Manual de Usuario_v1.0_2024-09-09.pdf,Sin alerta automática
1_3_training_gs500_en_01_2017.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,1_3_Training_GS500_EN_01_2017.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/1_3_Training_GS500_EN_01_2017.pdf,Sin alerta automática
2_1_training_ps500_withm7_3plus_en_06_2017.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,2_1_Training_PS500_withM7_3plus_EN_06_2017.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/2_1_Training_PS500_withM7_3plus_EN_06_2017.pdf,Sin alerta automática
3_9054521_01_erg_ga_v_vn_ps500_batt_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,3_9054521_01_Erg__GA_V-VN_PS500-Batt__en.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/3_9054521_01_Erg__GA_V-VN_PS500-Batt__en.pdf,Sin alerta automática
9066667_babyflow_es_finit.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,espanol,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,9066667_BabyFlow_ES_finit.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/9066667_BabyFlow_ES_finit.pdf,Sin alerta automática
abreviaturas_y_simbolos_evita_v300_vn500.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,abreviaturas y simbolos Evita V300 - VN500.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/abreviaturas y simbolos Evita V300 - VN500.pdf,Sin alerta automática
02_cc_other_intern_vn500_differences_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,02 cc_other_intern_VN500 differences_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/02 cc_other_intern_VN500 differences_en.ppt,Sin alerta automática
03_cc_other_intern_mounting_v500_vn500_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,03 cc_other_intern_mounting V500_VN500_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/03 cc_other_intern_mounting V500_VN500_en.ppt,Sin alerta automática
04_cc_other_intern_vn500_hfo_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,04 cc_other_intern_VN500 HFO_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/04 cc_other_intern_VN500 HFO_en.ppt,Sin alerta automática
05_cc_other_intern_vn500_introduction_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,05 cc_other_intern_VN500 introduction_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/05 cc_other_intern_VN500 introduction_en.ppt,Sin alerta automática
06_cc_other_intern_vn500_new_modes_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,06 cc_other_intern_VN500 new modes_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/06 cc_other_intern_VN500 new modes_en.ppt,Sin alerta automática
07_cc_other_intern_vn500_spv_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,07 cc_other_intern_VN500 SPV_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/07 cc_other_intern_VN500 SPV_en.ppt,Sin alerta automática
cc_other_new_openbreathing_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_new_openbreathing_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_new_openbreathing_en.ppt,Sin alerta automática
cc_other_news_aprv_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_aprv_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_aprv_en.ppt,Sin alerta automática
cc_other_news_aprv_recruit_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_aprv_recruit_en .ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_aprv_recruit_en .ppt,Sin alerta automática
cc_other_news_ardsnet_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_ardsnet_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_ardsnet_en.ppt,Sin alerta automática
cc_other_news_atc_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_atc_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_atc_en.ppt,Sin alerta automática
cc_other_news_autoflow_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_autoflow_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_autoflow_en.ppt,Sin alerta automática
cc_other_news_humidity_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_humidity_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_humidity_en.ppt,Sin alerta automática
cc_other_news_maneuvers_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_maneuvers_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_maneuvers_en.ppt,Sin alerta automática
cc_other_news_mmv_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_mmv_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_mmv_en.ppt,Sin alerta automática
cc_other_news_monitoring_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_monitoring_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_monitoring_en.ppt,Sin alerta automática
cc_other_news_niv_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_niv_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_niv_en.ppt,Sin alerta automática
cc_other_news_pressure_volume_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_pressure_volume_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_pressure_volume_en.ppt,Sin alerta automática
cc_other_news_simv_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_simv_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_simv_en.ppt,Sin alerta automática
cc_other_news_vent_reduction_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_news_vent reduction_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_other_news_vent reduction_en.ppt,Sin alerta automática
cc_others_news_weaning_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_others_news_weaning_en.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/cc_others_news_weaning_en.ppt,Sin alerta automática
thumbs.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,Thumbs.db,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Aplication Training/Thumbs.db,Sin alerta automática
cc_other_br_9066227_es.md,Ventilador Draeger VN500,Respirador Draeger - VN500,folleto,C,excluir,espanol,pendiente,Folleto/brochure comercial; no es fuente principal para respuesta tecnica.,cc_other_br_9066227_es.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Brochure/cc_other_br_9066227_es.pdf,Sin alerta automática
cc_other_br_9066343_es.md,Ventilador Draeger VN500,Respirador Draeger - VN500,folleto,C,excluir,espanol,pendiente,Folleto/brochure comercial; no es fuente principal para respuesta tecnica.,cc_other_br_9066343_es.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Brochure/cc_other_br_9066343_es.pdf,Sin alerta automática
cc_other_br_9066364_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,folleto,C,excluir,ingles,pendiente,Folleto/brochure comercial; no es fuente principal para respuesta tecnica.,cc_other_br_9066364_en.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Brochure/cc_other_br_9066364_en.pdf,Sin alerta automática
cc_other_br_9066465_es.md,Ventilador Draeger VN500,Respirador Draeger - VN500,folleto,C,excluir,espanol,pendiente,Folleto/brochure comercial; no es fuente principal para respuesta tecnica.,cc_other_br_9066465_es.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Brochure/cc_other_br_9066465_es.pdf,Sin alerta automática
pdf1805_ad_babylog_vn500_spanisch_30112009_k2.md,Ventilador Draeger VN500,Respirador Draeger - VN500,folleto,C,excluir,espanol,pendiente,Folleto/brochure comercial; no es fuente principal para respuesta tecnica.,PDF1805_Ad Babylog_VN500_Spanisch_30112009_k2.pdf,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Brochure/PDF1805_Ad Babylog_VN500_Spanisch_30112009_k2.pdf,Sin alerta automática
cc_other_train_alphatest_en.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,cc_other_train_alphatest_en.avi,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/cc_other_train_alphatest_en.avi,Sin alerta automática
cmo_programar_y_visuali.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,Cmo_programar_y_visuali.mp4,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Cmo_programar_y_visuali.mp4,Sin alerta automática
01_devicetraining_v500_device_operation.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,01_DeviceTraining_V500_Device_Operation.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/01_DeviceTraining_V500_Device_Operation.ppt,Sin alerta automática
01_devicetraining_v500_system_overview.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,01_DeviceTraining_V500_System_Overview.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/01_DeviceTraining_V500_System_Overview.ppt,Sin alerta automática
03_devicetraining_v500_configuration.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,03_DeviceTraining_V500_Configuration.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/03_DeviceTraining_V500_Configuration.ppt,Sin alerta automática
04_devicetraining_v500_ventilation_modes_and_additional_settings.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,04_DeviceTraining_V500_Ventilation_Modes_and_Additional_Settings.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/04_DeviceTraining_V500_Ventilation_Modes_and_Additional_Settings.ppt,Sin alerta automática
05_devicetraining_v500_special_procedures.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,05_DeviceTraining_V500_Special_Procedures.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/05_DeviceTraining_V500_Special_Procedures.ppt,Sin alerta automática
06_devicetraining_v500_therapy_types.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,06_DeviceTraining_V500_Therapy_Types.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/06_DeviceTraining_V500_Therapy_Types.ppt,Sin alerta automática
07_devicetraining_v500_advanced_functions.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,07_DeviceTraining_V500_Advanced_Functions.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/07_DeviceTraining_V500_Advanced_Functions.ppt,Sin alerta automática
08_devicetraining_v500_alarm_behaviour.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,08_DeviceTraining_V500_Alarm_Behaviour.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/08_DeviceTraining_V500_Alarm_Behaviour.ppt,Sin alerta automática
09_devicetraining_v500_cleaning_and_disinfection.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,09_DeviceTraining_V500_Cleaning_and_Disinfection.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/09_DeviceTraining_V500_Cleaning_and_Disinfection.ppt,Sin alerta automática
10_devicetraining_v500_service_and_maintenance.md,Ventilador Draeger VN500,Respirador Draeger - VN500,manual_servicio,A,incluir,indeterminado,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos. Idioma indeterminado; requiere validacion.",10_DeviceTraining_V500_Service_and_Maintenance.ppt,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/10_DeviceTraining_V500_Service_and_Maintenance.ppt,Sin alerta automática
thumbs.md,Ventilador Draeger VN500,Respirador Draeger - VN500,sin_clasificar,C,revisar,indeterminado,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar. Idioma indeterminado; requiere validacion.,Thumbs.db,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/Device Training/Thumbs.db,Sin alerta automática
ejemplo_ventilacion_altafrecuencia.md,Ventilador Draeger VN500,Respirador Draeger - VN500,duplicado,C,excluir,indeterminado,pendiente,Documento marcado como duplicado; no se ingesta hasta confirmar necesidad.,ejemplo ventilacion AltaFrecuencia.avi,Manuales-20260528T010304Z-3-001/Manuales/draguer respirador/Draeger- VN500/ejemplo ventilacion AltaFrecuencia.avi,Duplicado exacto
